Request id,Pickup point,Driver id,Status,Request,timestamp,Drop,timestamp,Pick_up_Hour,Drop_Hour,Req_Hour_Bucket,Drop_Hour_Bracket ,Cancelled Flag,No cars availabe ,Time_slot
3075,City,2,Trip Completed,13-Jul-16,8:02:53 AM,13-Jul-16,9:16:19 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
3379,City,2,Trip Completed,13-Jul-16,2:23:02 PM,13-Jul-16,3:35:18 PM,14,15,14:00-15:00,15:00-16:00,0,0,Afternoon
3482,Airport,2,Trip Completed,13-Jul-16,5:23:18 PM,13-Jul-16,6:20:51 PM,17,18,17:00-18:00,18:00-19:00,0,0,Afternoon
4652,City,2,Trip Completed,14-Jul-16,12:01:02 PM,14-Jul-16,12:36:46 PM,12,12,12:00-13:00,12:00-13:00,0,0,Afternoon
5335,Airport,2,Trip Completed,14-Jul-16,10:24:13 PM,14-Jul-16,11:18:52 PM,22,23,22:00-23:00,23:00-24:00,0,0,Night
535,Airport,3,Trip Completed,11-Jul-16,10:00:00 AM,11-Jul-16,10:31:00 AM,10,10,10:00-11:00,10:00-11:00,0,0,Morning
960,Airport,3,Trip Completed,11-Jul-16,6:45:00 AM,11-Jul-16,7:23:00 AM,6,7,06:00-07:00,07:00-08:00,0,0,Morning
1934,Airport,3,Trip Completed,12-Jul-16,11:17:00 AM,12-Jul-16,12:23:00 PM,11,12,11:00-12:00,12:00-13:00,0,0,Morning
2083,Airport,3,Trip Completed,12-Jul-16,3:46:00 AM,12-Jul-16,4:40:00 AM,3,4,03:00-04:00,04:00-05:00,0,0,Early_Morning
2211,Airport,3,Trip Completed,12-Jul-16,6:00:00 AM,12-Jul-16,6:28:00 AM,6,6,06:00-07:00,06:00-07:00,0,0,Morning
3096,Airport,3,Trip Completed,13-Jul-16,8:17:29 AM,13-Jul-16,9:22:37 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
3881,Airport,3,Trip Completed,13-Jul-16,9:54:18 PM,13-Jul-16,10:51:23 PM,21,22,21:00-22:00,22:00-23:00,0,0,Night
5254,City,3,Trip Completed,14-Jul-16,9:23:03 PM,14-Jul-16,10:25:19 PM,21,22,21:00-22:00,22:00-23:00,0,0,Night
5434,City,3,Trip Completed,15-Jul-16,2:41:38 AM,15-Jul-16,3:24:43 AM,2,3,02:00-03:00,03:00-04:00,0,0,Early_Morning
5916,City,3,Trip Completed,15-Jul-16,10:00:43 AM,15-Jul-16,10:53:06 AM,10,10,10:00-11:00,10:00-11:00,0,0,Morning
669,City,4,Trip Completed,11-Jul-16,1:08:00 AM,11-Jul-16,1:49:00 AM,1,1,01:00-02:00,01:00-02:00,0,0,Early_Morning
1567,Airport,4,Trip Completed,12-Jul-16,6:21:00 AM,12-Jul-16,7:10:00 AM,6,7,06:00-07:00,07:00-08:00,0,0,Morning
1826,City,4,Trip Completed,12-Jul-16,9:27:00 AM,12-Jul-16,10:27:00 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
2102,City,4,Trip Completed,12-Jul-16,4:09:00 AM,12-Jul-16,5:01:00 AM,4,5,04:00-05:00,05:00-06:00,0,0,Early_Morning
2847,Airport,4,Trip Completed,13-Jul-16,5:34:20 AM,13-Jul-16,6:09:59 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
3722,Airport,4,Trip Completed,13-Jul-16,7:57:59 PM,13-Jul-16,8:32:04 PM,19,20,19:00-20:00,20:00-21:00,0,0,Night
4075,City,4,Trip Completed,14-Jul-16,2:17:35 AM,14-Jul-16,3:21:38 AM,2,3,02:00-03:00,03:00-04:00,0,0,Early_Morning
4686,City,4,Trip Completed,14-Jul-16,1:01:10 PM,14-Jul-16,1:45:28 PM,13,13,13:00-14:00,13:00-14:00,0,0,Afternoon
5771,Airport,4,Trip Completed,15-Jul-16,8:30:06 AM,15-Jul-16,9:37:20 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
6106,Airport,4,Trip Completed,15-Jul-16,3:01:20 PM,15-Jul-16,3:47:31 PM,15,15,15:00-16:00,15:00-16:00,0,0,Afternoon
312,City,5,Trip Completed,11-Jul-16,7:27:00 AM,11-Jul-16,8:31:00 AM,7,8,07:00-08:00,08:00-09:00,0,0,Morning
577,Airport,5,Trip Completed,11-Jul-16,11:03:00 AM,11-Jul-16,12:01:00 PM,11,12,11:00-12:00,12:00-13:00,0,0,Morning
1179,City,5,Trip Completed,11-Jul-16,8:58:00 AM,11-Jul-16,9:45:00 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
1756,Airport,5,Trip Completed,12-Jul-16,8:40:00 AM,12-Jul-16,9:23:00 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
2052,City,5,Trip Completed,12-Jul-16,2:48:00 AM,12-Jul-16,3:50:00 AM,2,3,02:00-03:00,03:00-04:00,0,0,Early_Morning
2559,City,5,Trip Completed,12-Jul-16,9:32:00 AM,12-Jul-16,10:29:00 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
3014,City,5,Trip Completed,13-Jul-16,7:28:14 AM,13-Jul-16,8:29:47 AM,7,8,07:00-08:00,08:00-09:00,0,0,Morning
3317,City,5,Trip Completed,13-Jul-16,12:14:27 PM,13-Jul-16,12:46:38 PM,12,12,12:00-13:00,12:00-13:00,0,0,Afternoon
4297,City,5,Trip Completed,14-Jul-16,6:43:01 AM,14-Jul-16,7:49:38 AM,6,7,06:00-07:00,07:00-08:00,0,0,Morning
5857,Airport,5,Trip Completed,15-Jul-16,9:08:50 AM,15-Jul-16,10:07:07 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
6690,Airport,5,Trip Completed,15-Jul-16,10:41:41 PM,15-Jul-16,11:51:00 PM,22,23,22:00-23:00,23:00-24:00,0,0,Night
1517,Airport,6,Trip Completed,12-Jul-16,5:45:00 AM,12-Jul-16,6:28:00 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
1999,Airport,6,Trip Completed,12-Jul-16,1:02:00 AM,12-Jul-16,1:51:00 AM,1,1,01:00-02:00,01:00-02:00,0,0,Early_Morning
2960,Airport,6,Trip Completed,13-Jul-16,6:50:33 AM,13-Jul-16,7:40:35 AM,6,7,06:00-07:00,07:00-08:00,0,0,Morning
3882,City,6,Trip Completed,13-Jul-16,9:53:03 PM,13-Jul-16,10:45:24 PM,21,22,21:00-22:00,22:00-23:00,0,0,Night
4081,Airport,6,Trip Completed,14-Jul-16,2:37:14 AM,14-Jul-16,3:30:27 AM,2,3,02:00-03:00,03:00-04:00,0,0,Early_Morning
4740,City,6,Trip Completed,14-Jul-16,2:50:07 PM,14-Jul-16,3:38:14 PM,14,15,14:00-15:00,15:00-16:00,0,0,Afternoon
5270,City,6,Trip Completed,14-Jul-16,9:33:55 PM,14-Jul-16,10:25:43 PM,21,22,21:00-22:00,22:00-23:00,0,0,Night
6758,Airport,6,Trip Completed,15-Jul-16,12:03:39 AM,15-Jul-16,1:07:39 AM,0,1,00:00-01:00,01:00-02:00,0,0,Early_Morning
5741,City,6,Trip Completed,15-Jul-16,7:52:51 AM,15-Jul-16,8:38:55 AM,7,8,07:00-08:00,08:00-09:00,0,0,Morning
6087,Airport,6,Trip Completed,15-Jul-16,2:28:50 PM,15-Jul-16,3:33:53 PM,14,15,14:00-15:00,15:00-16:00,0,0,Afternoon
1039,City,7,Trip Completed,11-Jul-16,7:31:00 AM,11-Jul-16,8:41:00 AM,7,8,07:00-08:00,08:00-09:00,0,0,Morning
1273,Airport,7,Trip Completed,11-Jul-16,10:07:00 AM,11-Jul-16,11:12:00 AM,10,11,10:00-11:00,11:00-12:00,0,0,Morning
2480,City,7,Trip Completed,12-Jul-16,8:39:00 AM,12-Jul-16,9:28:00 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
4105,City,7,Trip Completed,14-Jul-16,3:39:38 AM,14-Jul-16,4:39:04 AM,3,4,03:00-04:00,04:00-05:00,0,0,Early_Morning
4509,City,7,Trip Completed,14-Jul-16,9:11:13 AM,14-Jul-16,10:17:01 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
4986,Airport,7,Trip Completed,14-Jul-16,6:52:32 PM,14-Jul-16,7:50:57 PM,18,19,18:00-19:00,19:00-20:00,0,0,Night
5898,City,7,Trip Completed,15-Jul-16,9:50:28 AM,15-Jul-16,10:40:39 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
6142,Airport,7,Trip Completed,15-Jul-16,3:50:15 PM,15-Jul-16,4:36:56 PM,15,16,15:00-16:00,16:00-17:00,0,0,Afternoon
380,Airport,8,Trip Completed,11-Jul-16,8:18:00 AM,11-Jul-16,9:18:00 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
1050,Airport,8,Trip Completed,11-Jul-16,7:39:00 AM,11-Jul-16,8:30:00 AM,7,8,07:00-08:00,08:00-09:00,0,0,Morning
1769,City,8,Trip Completed,12-Jul-16,8:57:00 AM,12-Jul-16,9:24:00 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
2520,City,8,Trip Completed,12-Jul-16,9:05:00 AM,12-Jul-16,10:20:00 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
3265,Airport,8,Trip Completed,13-Jul-16,10:22:07 AM,13-Jul-16,11:07:02 AM,10,11,10:00-11:00,11:00-12:00,0,0,Morning
4648,City,8,Trip Completed,14-Jul-16,11:55:10 AM,14-Jul-16,12:59:34 PM,11,12,11:00-12:00,12:00-13:00,0,0,Morning
449,Airport,9,Trip Completed,11-Jul-16,9:08:00 AM,11-Jul-16,9:52:00 AM,9,9,09:00-10:00,09:00-10:00,0,0,Morning
846,Airport,9,Trip Completed,11-Jul-16,5:46:00 AM,11-Jul-16,6:52:00 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
1346,Airport,9,Trip Completed,11-Jul-16,11:39:00 AM,12-Jul-16,12:23:00 PM,11,12,11:00-12:00,12:00-13:00,0,0,Morning
1474,Airport,9,Trip Completed,12-Jul-16,5:13:00 AM,12-Jul-16,5:56:00 AM,5,5,05:00-06:00,05:00-06:00,0,0,Early_Morning
2240,City,9,Trip Completed,12-Jul-16,6:20:00 AM,12-Jul-16,6:54:00 AM,6,6,06:00-07:00,06:00-07:00,0,0,Morning
3072,Airport,9,Trip Completed,13-Jul-16,8:04:57 AM,13-Jul-16,8:36:37 AM,8,8,08:00-09:00,08:00-09:00,0,0,Morning
3459,Airport,9,Trip Completed,13-Jul-16,5:03:30 PM,13-Jul-16,5:31:49 PM,17,17,17:00-18:00,17:00-18:00,0,0,Afternoon
3774,Airport,9,Trip Completed,13-Jul-16,8:41:24 PM,13-Jul-16,9:27:29 PM,20,21,20:00-21:00,21:00-22:00,0,0,Night
4023,City,9,Trip Completed,13-Jul-16,11:58:41 PM,14-Jul-16,12:58:39 AM,23,0,23:00-24:00,00:00-01:00,0,0,Night
4117,City,9,Trip Completed,14-Jul-16,4:21:42 AM,14-Jul-16,5:07:07 AM,4,5,04:00-05:00,05:00-06:00,0,0,Early_Morning
4880,Airport,9,Trip Completed,14-Jul-16,5:58:46 PM,14-Jul-16,7:02:42 PM,17,19,17:00-18:00,19:00-20:00,0,0,Afternoon
5568,Airport,9,Trip Completed,15-Jul-16,5:47:49 AM,15-Jul-16,6:25:49 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
5994,Airport,9,Trip Completed,15-Jul-16,11:51:16 AM,15-Jul-16,12:32:12 PM,11,12,11:00-12:00,12:00-13:00,0,0,Morning
1809,Airport,10,Trip Completed,12-Jul-16,9:13:00 AM,12-Jul-16,10:01:00 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
2064,Airport,10,Trip Completed,12-Jul-16,3:08:00 AM,12-Jul-16,4:14:00 AM,3,4,03:00-04:00,04:00-05:00,0,0,Early_Morning
3210,City,10,Trip Completed,13-Jul-16,9:47:06 AM,13-Jul-16,10:52:37 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
4350,City,10,Trip Completed,14-Jul-16,7:24:43 AM,14-Jul-16,8:22:09 AM,7,8,07:00-08:00,08:00-09:00,0,0,Morning
4713,City,10,Trip Completed,14-Jul-16,1:31:24 PM,14-Jul-16,2:10:56 PM,13,14,13:00-14:00,14:00-15:00,0,0,Afternoon
5629,Airport,10,Trip Completed,15-Jul-16,6:33:00 AM,15-Jul-16,7:19:53 AM,6,7,06:00-07:00,07:00-08:00,0,0,Morning
6157,Airport,10,Trip Completed,15-Jul-16,4:32:51 PM,15-Jul-16,5:44:44 PM,16,17,16:00-17:00,17:00-18:00,0,0,Afternoon
2030,City,11,Trip Completed,12-Jul-16,2:11:00 AM,12-Jul-16,3:02:00 AM,2,3,02:00-03:00,03:00-04:00,0,0,Early_Morning
3226,City,11,Trip Completed,13-Jul-16,10:00:17 AM,13-Jul-16,11:02:52 AM,10,11,10:00-11:00,11:00-12:00,0,0,Morning
3353,City,11,Trip Completed,13-Jul-16,1:29:44 PM,13-Jul-16,2:09:00 PM,13,14,13:00-14:00,14:00-15:00,0,0,Afternoon
4293,City,11,Trip Completed,14-Jul-16,6:42:36 AM,14-Jul-16,7:12:41 AM,6,7,06:00-07:00,07:00-08:00,0,0,Morning
4936,City,11,Trip Completed,14-Jul-16,6:22:17 PM,14-Jul-16,7:14:36 PM,18,19,18:00-19:00,19:00-20:00,0,0,Night
5661,Airport,11,Trip Completed,15-Jul-16,7:08:50 AM,15-Jul-16,7:59:00 AM,7,7,07:00-08:00,07:00-08:00,0,0,Morning
5778,City,11,Trip Completed,15-Jul-16,8:22:03 AM,15-Jul-16,9:13:04 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
6425,Airport,11,Trip Completed,15-Jul-16,7:46:40 PM,15-Jul-16,8:26:51 PM,19,20,19:00-20:00,20:00-21:00,0,0,Night
45,Airport,12,Trip Completed,11-Jul-16,3:17:00 AM,11-Jul-16,4:09:00 AM,3,4,03:00-04:00,04:00-05:00,0,0,Early_Morning
264,City,12,Trip Completed,11-Jul-16,6:51:00 AM,11-Jul-16,7:40:00 AM,6,7,06:00-07:00,07:00-08:00,0,0,Morning
1183,City,12,Trip Completed,11-Jul-16,9:05:00 AM,11-Jul-16,9:38:00 AM,9,9,09:00-10:00,09:00-10:00,0,0,Morning
1536,Airport,12,Trip Completed,12-Jul-16,5:59:00 AM,12-Jul-16,6:59:00 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
2437,City,12,Trip Completed,12-Jul-16,8:18:00 AM,12-Jul-16,9:26:00 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
2641,Airport,12,Trip Completed,12-Jul-16,10:28:00 AM,12-Jul-16,11:05:00 AM,10,11,10:00-11:00,11:00-12:00,0,0,Morning
4077,Airport,12,Trip Completed,14-Jul-16,2:14:15 AM,14-Jul-16,3:13:09 AM,2,3,02:00-03:00,03:00-04:00,0,0,Early_Morning
4610,City,12,Trip Completed,14-Jul-16,10:35:14 AM,14-Jul-16,11:39:01 AM,10,11,10:00-11:00,11:00-12:00,0,0,Morning
5066,Airport,12,Trip Completed,14-Jul-16,7:31:20 PM,14-Jul-16,8:14:03 PM,19,20,19:00-20:00,20:00-21:00,0,0,Night
5666,Airport,12,Trip Completed,15-Jul-16,7:04:55 AM,15-Jul-16,8:12:37 AM,7,8,07:00-08:00,08:00-09:00,0,0,Morning
5923,City,12,Trip Completed,15-Jul-16,10:07:49 AM,15-Jul-16,10:50:50 AM,10,10,10:00-11:00,10:00-11:00,0,0,Morning
6367,City,12,Trip Completed,15-Jul-16,7:04:46 PM,15-Jul-16,7:46:04 PM,19,19,19:00-20:00,19:00-20:00,0,0,Night
155,City,13,Trip Completed,11-Jul-16,5:32:00 AM,11-Jul-16,6:28:00 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
310,Airport,13,Trip Completed,11-Jul-16,7:24:00 AM,11-Jul-16,8:28:00 AM,7,8,07:00-08:00,08:00-09:00,0,0,Morning
607,City,13,Trip Completed,11-Jul-16,11:51:00 AM,11-Jul-16,12:42:00 PM,11,12,11:00-12:00,12:00-13:00,0,0,Morning
1012,City,13,Trip Completed,11-Jul-16,7:15:00 AM,11-Jul-16,7:57:00 AM,7,7,07:00-08:00,07:00-08:00,0,0,Morning
1696,Airport,13,Trip Completed,12-Jul-16,8:01:00 AM,12-Jul-16,8:42:00 AM,8,8,08:00-09:00,08:00-09:00,0,0,Morning
3076,City,13,Trip Completed,13-Jul-16,8:09:04 AM,13-Jul-16,9:12:19 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
4198,Airport,13,Trip Completed,14-Jul-16,5:32:14 AM,14-Jul-16,6:45:32 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
4627,City,13,Trip Completed,14-Jul-16,11:13:19 AM,14-Jul-16,12:00:12 PM,11,12,11:00-12:00,12:00-13:00,0,0,Morning
5289,City,13,Trip Completed,14-Jul-16,9:43:24 PM,14-Jul-16,10:24:13 PM,21,22,21:00-22:00,22:00-23:00,0,0,Night
5495,Airport,13,Trip Completed,15-Jul-16,5:00:13 AM,15-Jul-16,6:02:27 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
6656,Airport,13,Trip Completed,15-Jul-16,10:08:42 PM,15-Jul-16,10:41:18 PM,22,22,22:00-23:00,22:00-23:00,0,0,Night
139,Airport,14,Trip Completed,11-Jul-16,5:21:00 AM,11-Jul-16,6:09:00 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
215,City,14,Trip Completed,11-Jul-16,6:15:00 AM,11-Jul-16,7:07:00 AM,6,7,06:00-07:00,07:00-08:00,0,0,Morning
1816,City,14,Trip Completed,12-Jul-16,9:24:00 AM,12-Jul-16,10:07:00 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
2505,Airport,14,Trip Completed,12-Jul-16,9:03:00 AM,12-Jul-16,10:14:00 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
3346,City,14,Trip Completed,13-Jul-16,1:01:42 PM,13-Jul-16,1:55:59 PM,13,13,13:00-14:00,13:00-14:00,0,0,Afternoon
5294,City,14,Trip Completed,14-Jul-16,9:45:50 PM,14-Jul-16,10:16:40 PM,21,22,21:00-22:00,22:00-23:00,0,0,Night
6226,Airport,14,Trip Completed,15-Jul-16,5:34:25 PM,15-Jul-16,6:33:13 PM,17,18,17:00-18:00,18:00-19:00,0,0,Afternoon
6733,Airport,14,Trip Completed,15-Jul-16,11:32:44 PM,16-Jul-16,12:37:46 AM,23,0,23:00-24:00,00:00-01:00,0,0,Night
1027,Airport,15,Trip Completed,11-Jul-16,7:18:00 AM,11-Jul-16,8:24:00 AM,7,8,07:00-08:00,08:00-09:00,0,0,Morning
2675,Airport,15,Trip Completed,12-Jul-16,11:43:00 AM,13-Jul-16,12:35:12 AM,11,0,11:00-12:00,00:00-01:00,0,0,Morning
3200,City,15,Trip Completed,13-Jul-16,9:39:44 AM,13-Jul-16,10:30:58 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
3865,City,15,Trip Completed,13-Jul-16,9:52:05 PM,13-Jul-16,10:21:15 PM,21,22,21:00-22:00,22:00-23:00,0,0,Night
4468,City,15,Trip Completed,14-Jul-16,8:42:46 AM,14-Jul-16,9:22:01 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
5163,Airport,15,Trip Completed,14-Jul-16,8:34:30 PM,14-Jul-16,9:05:18 PM,20,21,20:00-21:00,21:00-22:00,0,0,Night
6009,City,15,Trip Completed,15-Jul-16,12:22:35 PM,15-Jul-16,1:25:27 PM,12,13,12:00-13:00,13:00-14:00,0,0,Afternoon
6448,Airport,15,Trip Completed,15-Jul-16,8:02:54 PM,15-Jul-16,8:40:45 PM,20,20,20:00-21:00,20:00-21:00,0,0,Night
591,City,16,Trip Completed,11-Jul-16,11:25:00 AM,11-Jul-16,12:31:00 PM,11,12,11:00-12:00,12:00-13:00,0,0,Morning
709,City,16,Trip Completed,11-Jul-16,2:16:00 AM,11-Jul-16,3:03:00 AM,2,3,02:00-03:00,03:00-04:00,0,0,Early_Morning
1167,Airport,16,Trip Completed,11-Jul-16,8:50:00 AM,11-Jul-16,9:52:00 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
2661,Airport,16,Trip Completed,12-Jul-16,11:23:00 AM,13-Jul-16,12:27:21 AM,11,0,11:00-12:00,00:00-01:00,0,0,Morning
2808,City,16,Trip Completed,13-Jul-16,5:05:16 AM,13-Jul-16,5:56:11 AM,5,5,05:00-06:00,05:00-06:00,0,0,Early_Morning
3258,Airport,16,Trip Completed,13-Jul-16,10:12:51 AM,13-Jul-16,10:45:28 AM,10,10,10:00-11:00,10:00-11:00,0,0,Morning
3413,Airport,16,Trip Completed,13-Jul-16,3:32:01 PM,13-Jul-16,4:45:44 PM,15,16,15:00-16:00,16:00-17:00,0,0,Afternoon
3939,Airport,16,Trip Completed,13-Jul-16,10:26:26 PM,13-Jul-16,10:55:54 PM,22,22,22:00-23:00,22:00-23:00,0,0,Night
4125,City,16,Trip Completed,14-Jul-16,4:37:11 AM,14-Jul-16,5:46:29 AM,4,5,04:00-05:00,05:00-06:00,0,0,Early_Morning
4457,City,16,Trip Completed,14-Jul-16,8:36:24 AM,14-Jul-16,9:19:20 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
4728,City,16,Trip Completed,14-Jul-16,2:04:13 PM,14-Jul-16,3:06:40 PM,14,15,14:00-15:00,15:00-16:00,0,0,Afternoon
5347,Airport,16,Trip Completed,14-Jul-16,10:51:47 PM,14-Jul-16,11:53:42 PM,22,23,22:00-23:00,23:00-24:00,0,0,Night
6147,City,16,Trip Completed,15-Jul-16,4:11:02 PM,15-Jul-16,5:30:08 PM,16,17,16:00-17:00,17:00-18:00,0,0,Afternoon
6496,Airport,16,Trip Completed,15-Jul-16,8:33:00 PM,15-Jul-16,9:32:49 PM,20,21,20:00-21:00,21:00-22:00,0,0,Night
634,City,17,Trip Completed,11-Jul-16,12:25:00 PM,11-Jul-16,1:06:00 AM,12,1,12:00-13:00,01:00-02:00,0,0,Afternoon
939,Airport,17,Trip Completed,11-Jul-16,6:25:00 AM,11-Jul-16,7:26:00 AM,6,7,06:00-07:00,07:00-08:00,0,0,Morning
2628,Airport,17,Trip Completed,12-Jul-16,10:10:00 AM,12-Jul-16,11:25:00 AM,10,11,10:00-11:00,11:00-12:00,0,0,Morning
3021,City,17,Trip Completed,13-Jul-16,7:33:20 AM,13-Jul-16,8:26:07 AM,7,8,07:00-08:00,08:00-09:00,0,0,Morning
4743,City,17,Trip Completed,14-Jul-16,2:54:16 PM,14-Jul-16,3:39:03 PM,14,15,14:00-15:00,15:00-16:00,0,0,Afternoon
4981,City,17,Trip Completed,14-Jul-16,6:47:42 PM,14-Jul-16,7:43:44 PM,18,19,18:00-19:00,19:00-20:00,0,0,Night
5367,Airport,17,Trip Completed,14-Jul-16,11:35:34 PM,15-Jul-16,12:25:26 AM,23,0,23:00-24:00,00:00-01:00,0,0,Night
5471,Airport,17,Trip Completed,15-Jul-16,4:48:57 AM,15-Jul-16,5:47:13 AM,4,5,04:00-05:00,05:00-06:00,0,0,Early_Morning
5988,Airport,17,Trip Completed,15-Jul-16,11:48:32 AM,15-Jul-16,12:55:02 PM,11,12,11:00-12:00,12:00-13:00,0,0,Morning
6477,Airport,17,Trip Completed,15-Jul-16,8:21:26 PM,15-Jul-16,9:00:31 PM,20,21,20:00-21:00,21:00-22:00,0,0,Night
499,City,18,Trip Completed,11-Jul-16,9:39:00 AM,11-Jul-16,10:16:00 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
1147,Airport,18,Trip Completed,11-Jul-16,8:42:00 AM,11-Jul-16,9:18:00 AM,8,9,08:00-09:00,09:00-10:00,0,0,Morning
1410,Airport,18,Trip Completed,12-Jul-16,3:14:00 AM,12-Jul-16,4:27:00 AM,3,4,03:00-04:00,04:00-05:00,0,0,Early_Morning
1804,Airport,18,Trip Completed,12-Jul-16,9:12:00 AM,12-Jul-16,9:57:00 AM,9,9,09:00-10:00,09:00-10:00,0,0,Morning
1949,Airport,18,Trip Completed,12-Jul-16,11:32:00 AM,12-Jul-16,12:13:00 PM,11,12,11:00-12:00,12:00-13:00,0,0,Morning
2713,City,18,Trip Completed,13-Jul-16,1:46:42 AM,13-Jul-16,2:37:08 AM,1,2,01:00-02:00,02:00-03:00,0,0,Early_Morning
2845,City,18,Trip Completed,13-Jul-16,5:28:29 AM,13-Jul-16,6:10:40 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
3943,Airport,18,Trip Completed,13-Jul-16,10:35:38 PM,13-Jul-16,11:33:20 PM,22,23,22:00-23:00,23:00-24:00,0,0,Night
4792,City,18,Trip Completed,14-Jul-16,4:47:15 PM,14-Jul-16,5:34:39 PM,16,17,16:00-17:00,17:00-18:00,0,0,Afternoon
5207,Airport,18,Trip Completed,14-Jul-16,8:57:41 PM,14-Jul-16,9:56:21 PM,20,21,20:00-21:00,21:00-22:00,0,0,Night
5890,City,18,Trip Completed,15-Jul-16,9:43:57 AM,15-Jul-16,10:55:22 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
494,City,19,Trip Completed,11-Jul-16,9:36:00 AM,11-Jul-16,10:02:00 AM,9,10,09:00-10:00,10:00-11:00,0,0,Morning
1485,City,19,Trip Completed,12-Jul-16,5:21:00 AM,12-Jul-16,6:35:00 AM,5,6,05:00-06:00,06:00-07:00,0,0,Early_Morning
